,ver_claim_ids,ver_claim_encodings
0,vclaim-sno-1-mcdonald39s-any-size-fries,"[-0.00127712 -0.00734803 -0.03435503 ... -0.00321097  0.0005163
 -0.03821753]"
1,vclaim-sno-10-meter-anaconda,"[ 0.05898995  0.0103238  -0.02095057 ... -0.03424166 -0.00160347
  0.03155157]"
2,vclaim-sno-10-month-old-baby-drawing,"[ 0.04065248  0.03715238  0.03166491 ...  0.04276653  0.04476758
 -0.00644546]"
3,vclaim-sno-100-facebook-shares-appeal,"[ 0.02632656 -0.02341194  0.01279711 ... -0.02602543  0.0374981
  0.0314066 ]"
4,vclaim-sno-100-target-coupon,"[ 0.04209251 -0.04148875 -0.02553543 ... -0.01471043  0.00225951
  0.03092313]"
5,vclaim-sno-10000-camels-culled-australia,"[ 0.03107724 -0.02872781  0.01708466 ...  0.01688008  0.01095508
  0.06459661]"
6,vclaim-sno-100k-for-600-stimulus-checks,"[ 0.0030325   0.04404761 -0.02131541 ...  0.00267226  0.00171672
 -0.02284155]"
7,vclaim-sno-101-year-old-mom-gives-birth,"[-0.02499209  0.04443123  0.00469386 ...  0.02531324  0.03780553
  0.04977399]"
8,vclaim-sno-102-lb-shrimp,"[ 0.00361241  0.01556949  0.03141218 ... -0.0431714   0.0013115
  0.00680215]"
9,vclaim-sno-106-dead-in-california-music-festival-bombing,"[ 0.03854702 -0.02267126  0.02741934 ...  0.02012303  0.01844472
 -0.02969061]"
10,vclaim-sno-10cc,"[ 0.04202192  0.00680102  0.0326697  ...  0.0009028  -0.04499738
 -0.01668882]"
11,vclaim-sno-11-marines-this-week,[0.02166025 0.02150235 0.05437391 ... 0.03785819 0.0238326  0.00249444]
12,vclaim-sno-11-states-ban-ecigs-in-cars,"[ 0.00734363  0.03139479 -0.02374557 ...  0.00906588  0.02885825
 -0.01278162]"
13,vclaim-sno-110-pound-squirrel,"[-0.04121724  0.02793513  0.04718317 ... -0.0448362   0.04786144
  0.02435256]"
