,input_claim_ids,used_words_and_synonyms
0,tweet-sno-0,"['butterfly', 'chat_up', 'survive', 'exist', 'outlive', 'surviving', '#', 'a', '?', 'j', 'f', 'putt', 'put', 'frame', 'invest', 'place', 'arrange', 'water', 'body_of_water', 'water_system', 'urine', 'wildlife', 'fire', 'ardor', 'open_fire', 'displace', 'arouse', 'burn', 'fuel', 'witness', 'park', 'common', 'coarse', 'brown', 'brown_university', 'embrown', '(', 'h', 'm', ')', 'flap', 'flit', 'flicker', 'flutter', 'palpitate', 'bat', 'damp', 'wombat', 'hole', 'fix', 'trap', '.', 'footage', 'j', 'f']"
1,tweet-sno-1,"['trump', 'cornet', 'outdo', 'need', 'motivation', 'indigence', 'necessitate', 'want', 'inevitably', 'immediately', 'deprive', 'divest', 'strip', 'business', 'commercial_enterprise', 'occupation', 'clientele', 'comply', 'emolument', 'clause', 'article', '.', 'iran', 'c', 'endanger', 'threaten', 'hotel', '*', 'worldwide', 'global', 'cosmopolitan', '*', 'c', 'arouse', 'provoke', 'harass', 'war', 'loss', 'personnel_casualty', 'passing', 'gross', 'tax_income', 'skittish', 'guest', 'node', '.', 'interest', 'sake', 'pastime', 'concern', 'matter_to', 'drive', 'driving', 'force', 'repel', 'tug', 'military', 'decision', 'decisiveness', '.']"
2,tweet-sno-2,"['number', 'act', 'phone_number', 'numeral', 'issue', 'total', 'count', 'deceitful', 'text', 'textbook', 'message', 'informing', 'inform', 'person', 'individual', 'choose', 'selected', 'military', 'draft', 'conscription', 'gulp', 'enlist', 'blueprint', 'go_around', 'circulate', 'circle', 'mobilize', 'throughout', 'passim', 'state', 'country', 'nation', 'area', 'week', 'workweek', '.']"
3,tweet-sno-3,"['fact', 'check', 'assay', 'arrest', 'confirmation', 'check_mark', 'hindrance', 'bridle', 'see', 'control', 'match', 'discipline', 'determine', 'crack', ':', 'united_states_government', 'united_states', 'army', 'united_states_army', 'reach', 'touch', 'a', 'regard', 'involve', 'draft', 'conscription', 'gulp', 'enlist', 'blueprint', '.', 'receive', 'pick_up', 'experience', 'welcome', 'meet', 'get', 'text', 'textbook', ',', 'telephone', 'phone', 'earphone', 'call', 'cry', 'birdcall', 'margin_call', 'call_option', 'name', 'shout', 'visit', 'address', 'bid', 'predict', 'direct', 'target', 'lead', 'send', 'aim', 'conduct', 'calculate', 'steer', 'mastermind', 'lineal', 'directly', 'message', 'military', ',', 'official', 'communications', 'communication']"
4,tweet-sno-4,"['united_states', 'uracil', 'uranium', 'u', 'drone', 'monotone', 'dawdler', 'attack', 'fire', 'approach', 'assail', '#', 's', 'catch', 'get', 'hitch', 'capture', 'overtake', 'watch', 'trip_up']"
5,tweet-sno-5,"['1', 'dim', 'blind', 'blur', 'dimmed', 'black', 'dense', 'w', 'reporter', 'like', 'wish', 'alike', 'comparable', 'd', ':', 'one', 'matchless', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'aforesaid', '’', 'p', '.', 'president', 'president_of_the_united_states', 'iran', 'dead', 'all_in', 'abruptly', 'absolutely', '.', 'o', 'meet', 'converge', 'suffer', 'touch', 'r', 'person', '.', 'tweet', 'pinch', ':', '“', 'universe', 'world', 'earth', 'populace', 'worldly_concern', 'global', 'better', 'bettor', 'good', 'full', 'estimable', 'beneficial', 'adept', 'dear', 'dependable', 'effective', 'well', 'topographic_point', 'place', 'stead', 'home', 'position', 'seat', 'plaza', 'space', 'put', 'rate', 'locate', 'target', 'identify', 'set', 'invest', 'station', 'w', 'either', 'power', 'ability', 'office', 'exponent', 'might', 'world_power', 'baron', '”', '.']"
6,tweet-sno-6,"['picture', 'painting', 'mental_picture', 'movie', 'video', 'word_picture', 'photograph', 'visualize', 'battle', 'date', 'betrothal', 'employment', 'engagement', 'rings', 'ring', 'hoop', 'closed_chain', 'gang', 'band', 'resound', 'call', 'surround', 'remove', 'get_rid_of', 'take_out', 'absent', 'murder', 'removed', 'distant', 'finger', 'feel', 'universe', 'world', 'earth', 'populace', 'worldly_concern', 'global', 'w', 'two', 'victim', '.', 'imagine', 'think', 'many', 'love', 'beloved', 'sexual_love', 'sleep_together', 'narrative', 'story', 'floor', 'history', 'report', 'fib', 'bury', 'immerse', 'forget', 'buried', '!', 'war', 'never', 'easy', 'comfortable', 'easily', 'slowly', '!', 'neodymium', 'north_dakota', 'roentgen', 'gas_constant', 'r', 'radius', 'devising', 'qualification', 'making', 'make', 'induce', 'cause', 'produce', 'draw', 'create', 'gain', 'do', 'form', 'reach', 'construct', 'name', 'have', 'lay_down', 'hold', 'take', 'stool', 'cook', 'seduce', 'fun', 'playfulness', '.', '#', 'black', 'disgraceful']"
7,tweet-sno-7,"['o', '!', 'iran', ""'"", 'government', 'regimen', 'announce', 'announced', '$', 'eighty', 'million', 'bounty', 'amplitude', 'a', 'bring', 'institute', 'lend', 'fetch', 'head', 'mind', 'fountainhead', 'capitulum', 'principal', 'promontory', 'forefront', 'pass', 'headway', 'point', 'question', 'heading', 'read/write_head', 'drumhead', 'oral_sex', 'lead', 'steer', 'r', 'killing', 'kill', 'stamp_out', 'toss_off', 's', ':', ""'"", 'p', 'however', 'overjoy', 'overjoyed', 's', ""'"", 'death', 'end', '.', '#', 'i', 'show', 'prove', 'testify', 'picture', 'express', 'indicate', 'read', 'usher', ',', 'hanker', 'long', 'retentive', 'farseeing', 'goal', 'conclusion', 'mullah', ""'"", 'dictatorship', 'absolutism']"
8,tweet-sno-8,"['i', 'scream', 'screech', 'shout', 'yell', 'screaming', 'hilarious', '.', 'google', 'have', 'sport', 'featured', 'fraud', 'hoax', 'article', 'claim', 'title', 'call', 'm', 'close', 'exclude', 'shut', 'closed', '2']"
9,tweet-sno-9,"['folks', 'folk', 'tribe', 'family', 'folk_music', 'miss', 'neglect', 'lost', 'tweet', 'pinch', 'first', 'beginning', 'first_base', 'first_gear', 'inaugural', 'foremost', 'time', 'clock_time', 'fourth_dimension', 'meter', 'prison_term', 'clock', 'post', 'station', 'stake', 'mail', 'posted', '.', 'm', 'fillet', 'stopping', 'stop', 'discontinue', 'break', 'check', 'intercept', 'end', 'barricade', 'hold_on', ',', 'm', 'shutting', 'conclusion', 'closing', 'closure', 'completion', 'close', 'close_up', 'conclude', '.', '#', 'm']"
