,ver_claim_ids,ver_claim_encodings
0,vclaim-sno-1-mcdonald39s-any-size-fries,"[ 0.13408273  0.19879532  0.00890045 ...  0.09048978 -0.03814262
  0.05514308]"
1,vclaim-sno-10-meter-anaconda,[0.1332694  0.05633101 0.12673919 ... 0.09886731 0.00594138 0.08005105]
2,vclaim-sno-10-month-old-baby-drawing,"[ 0.10782555  0.06796688  0.09105051 ...  0.16873312 -0.03814262
  0.07483443]"
3,vclaim-sno-100-facebook-shares-appeal,"[ 0.08576553  0.16182062  0.03876858 ...  0.0405563  -0.03442325
  0.11347479]"
4,vclaim-sno-100-target-coupon,[0.08760536 0.1035175  0.04960163 ... 0.07661344 0.02628971 0.06269956]
5,vclaim-sno-10000-camels-culled-australia,[0.1922205  0.15308966 0.04713722 ... 0.07185581 0.03070593 0.0250813 ]
6,vclaim-sno-100k-for-600-stimulus-checks,"[ 0.01634571  0.1728699   0.00618818 ...  0.07162541 -0.03814262
  0.07171123]"
7,vclaim-sno-101-year-old-mom-gives-birth,"[ 0.01608944  0.01316291  0.2068491  ...  0.06035424 -0.02278263
  0.08591791]"
8,vclaim-sno-102-lb-shrimp,"[ 0.13338785  0.17889349  0.10601123 ...  0.00168022 -0.03814262
  0.04304729]"
9,vclaim-sno-106-dead-in-california-music-festival-bombing,"[ 0.05224423  0.17874755  0.04517662 ...  0.06939496 -0.03814262
  0.08397663]"
10,vclaim-sno-10cc,"[ 0.07311199  0.10821618  0.09535584 ...  0.01527262 -0.03329681
  0.00571031]"
11,vclaim-sno-11-marines-this-week,"[ 0.06422236  0.1404734   0.05673249 ...  0.14453651 -0.03814262
  0.00055652]"
12,vclaim-sno-11-states-ban-ecigs-in-cars,"[ 0.08132683  0.09031975  0.07925566 ...  0.04454843 -0.03086759
  0.03443561]"
13,vclaim-sno-110-pound-squirrel,"[ 0.10354927  0.11784834  0.18933792 ...  0.09446026 -0.03814262
  0.09323099]"
14,vclaim-sno-110-yard-field-goal,"[ 0.11502459  0.02276418  0.09392209 ...  0.01329365 -0.03814262
  0.07021976]"
15,vclaim-sno-12-churches-france,"[ 0.1317018   0.2173809   0.12995748 ...  0.25534865 -0.03814262
 -0.02892261]"
16,vclaim-sno-12-week-photo,[0.05682091 0.09865782 0.10448699 ... 0.1642809  0.         0.01609531]
17,vclaim-sno-12th-amendment-path-to-victory,"[ 0.10012485  0.164335    0.06275842 ...  0.07167936 -0.02323794
  0.1783903 ]"
