,sbert,infersent,universal,sim_cse,sequence_matcher,levenshtein,jacc_char,jacc_tok,ne,main_syns,words,subjects,score
sbert,1.0,-0.13,0.44,0.51,0.11,0.18,-0.0,0.04,0.23,0.1,0.11,0.02,0.13
infersent,-0.13,1.0,0.06,-0.1,-0.27,-0.59,0.26,0.41,0.09,0.43,0.45,0.15,0.05
universal,0.44,0.06,1.0,0.38,0.13,0.15,0.07,0.17,0.34,0.24,0.25,0.08,0.11
sim_cse,0.51,-0.1,0.38,1.0,0.1,0.17,0.02,0.05,0.22,0.09,0.09,0.04,0.12
sequence_matcher,0.11,-0.27,0.13,0.1,1.0,0.65,0.07,0.04,0.06,-0.12,-0.12,-0.01,0.06
levenshtein,0.18,-0.59,0.15,0.17,0.65,1.0,-0.09,-0.18,0.01,-0.31,-0.31,-0.08,0.03
jacc_char,-0.0,0.26,0.07,0.02,0.07,-0.09,1.0,0.39,0.11,0.24,0.31,0.09,0.05
jacc_tok,0.04,0.41,0.17,0.05,0.04,-0.18,0.39,1.0,0.23,0.47,0.67,0.19,0.09
ne,0.23,0.09,0.34,0.22,0.06,0.01,0.11,0.23,1.0,0.25,0.34,0.16,0.14
main_syns,0.1,0.43,0.24,0.09,-0.12,-0.31,0.24,0.47,0.25,1.0,0.72,0.17,0.1
words,0.11,0.45,0.25,0.09,-0.12,-0.31,0.31,0.67,0.34,0.72,1.0,0.19,0.11
subjects,0.02,0.15,0.08,0.04,-0.01,-0.08,0.09,0.19,0.16,0.17,0.19,1.0,0.05
score,0.13,0.05,0.11,0.12,0.06,0.03,0.05,0.09,0.14,0.1,0.11,0.05,1.0
