,ver_claim_ids,pos
0,vclaim-sno-1-mcdonald39s-any-size-fries,['restaurants']
1,vclaim-sno-10-meter-anaconda,['video']
2,vclaim-sno-10-month-old-baby-drawing,['video']
3,vclaim-sno-100-facebook-shares-appeal,['shares']
4,vclaim-sno-100-target-coupon,['coupon']
5,vclaim-sno-10000-camels-culled-australia,['officials']
6,vclaim-sno-100k-for-600-stimulus-checks,"['we', 'members']"
7,vclaim-sno-101-year-old-mom-gives-birth,['woman']
8,vclaim-sno-102-lb-shrimp,['photograph']
9,vclaim-sno-106-dead-in-california-music-festival-bombing,[]
10,vclaim-sno-10cc,['term']
11,vclaim-sno-11-marines-this-week,"['message', 'that']"
12,vclaim-sno-11-states-ban-ecigs-in-cars,['states']
13,vclaim-sno-110-pound-squirrel,['photograph']
14,vclaim-sno-110-yard-field-goal,['clip']
15,vclaim-sno-12-churches-france,['vandals']
16,vclaim-sno-12-week-photo,['photograph']
17,vclaim-sno-12th-amendment-path-to-victory,['trump']
18,vclaim-sno-14-year-old-pregnant-flu-shot,['schoolgirl']
19,vclaim-sno-1475-immigrant-children-missing,['government']
20,vclaim-sno-15-days-darkness-november,"['nasa', 'earth']"
21,vclaim-sno-15-foot-diamondback-rattler,['photographs']
22,vclaim-sno-15-homeless-dead-in-chicago,['that']
23,vclaim-sno-15-year-old-killed-trespassing-while-playing-pokemon-go,['shot']
24,vclaim-sno-17-women-pregnant-by-same-man,"['elgin', 'man']"
25,vclaim-sno-17-year-old-astronaut-training,[]
26,vclaim-sno-174-democrats-tsa-vote,['democrats']
27,vclaim-sno-179-kids-missing-indiana-2017,['children']
28,vclaim-sno-18-inches-of-bullet-casings-cover-chicago-streets,['city']
29,vclaim-sno-18-legally-adopt-17-year-old,[]
30,vclaim-sno-18-migrant-children-died-obama,['children']
31,vclaim-sno-18-million-illegal-immigrants-checks-shutdown,[]
32,vclaim-sno-180-day-countdown-ufo,"['bill', 'that']"
33,vclaim-sno-1860-painting-woman-iphone,"['painting', 'woman']"
34,vclaim-sno-1866-milligan-social-distancing,"['1866', 'parte', 'that']"
35,vclaim-sno-1872-rules-for-teachers,['document']
36,vclaim-sno-1898-julia-richardson,"['photograph', 'who']"
37,vclaim-sno-1898-oklahoma-tornado,"['photograph', 'men']"
38,vclaim-sno-1900s-playground-photo,"['photograph', 'children']"
39,vclaim-sno-191-years-old-mama-esifiho-may-oldest-woman-alive,['woman']
40,vclaim-sno-1911-poseidon-adventure,['titanic']
41,vclaim-sno-1912-article-global-warming,"['article', 'coal']"
42,vclaim-sno-1918-quarantine-ad-for-phone,"['picture', 'people']"
43,vclaim-sno-1922-new-york-times-hitler,"['article', 'hitler']"
44,vclaim-sno-1930s-housewife-smile-therapy,"['image', 'depicts']"
45,vclaim-sno-1945-airplane-reappears,['airplane']
46,vclaim-sno-1950s-magazine-ad-colt-cobra,"['advertisement', 'who']"
47,vclaim-sno-1956-republican-platform,['summary']
48,vclaim-sno-1970-quarter-ebay-canada,['handful']
49,vclaim-sno-1970s-anti-marijuana-ad,['photograph']
50,vclaim-sno-1992-mad-magazine-trump,[]
51,vclaim-sno-1994s-most-bizarre-suicide,"['coroner', 'hands', 'who']"
52,vclaim-sno-1996-law-non-citizens-vote,"['act', 'who']"
53,vclaim-sno-1998-trump-people-quote,"['trump', 'he', 'they']"
54,vclaim-sno-2-million-bikers-to-dc,[]
55,vclaim-sno-20-dollar-bill-folds-spells-trump,[]
56,vclaim-sno-200-nebraska-farmers,"['farmers', 'man']"
57,vclaim-sno-20000-bills,['bills']
58,vclaim-sno-20000-dead-voters-in-pennsylvania,"['pennsylvania', 'which']"
59,vclaim-sno-2005-darwin-awards,['list']
60,vclaim-sno-2009-trump-tweet-pandemic,"['trump', 'handling', 'he', 'thousands']"
61,vclaim-sno-2011-california-traffic-ticket-fines,"['list', 'codes']"
62,vclaim-sno-2011-w-2-tax-forms-and-hr3590,['employees']
63,vclaim-sno-2011,['year']
64,vclaim-sno-2012-us-olympic-team-uniforms,[]
65,vclaim-sno-2012-voter-fraud,['list']
66,vclaim-sno-2014-super-bowl-rigged,['fbi']
67,vclaim-sno-2015-pontiac-firebird-trans-am,['motors']
68,vclaim-sno-2016-obamas-america,['paulson']
69,vclaim-sno-2017-jobs-growth-trump,"['growth', 'it']"
70,vclaim-sno-2017-tax-bill,['we']
71,vclaim-sno-2018-easter-valentines-calendar-quirk,['observances']
72,vclaim-sno-2018s-amazing-calendar,['values']
73,vclaim-sno-2020-census-representation,"['count', 'that', 'others']"
74,vclaim-sno-2020-election-over,"['election', 'uncertainty', 'trump', 'he']"
75,vclaim-sno-2020-presidential-winner-announced,[]
76,vclaim-sno-2020-revision,[]
77,vclaim-sno-2020-summer-olympics-logo,['image']
78,vclaim-sno-2021-dodge-ram,['picture']
79,vclaim-sno-21-dead-in-ontario,[]
80,vclaim-sno-21-gun-reboot,['schools']
81,vclaim-sno-21-gun-salute-2,['government']
82,vclaim-sno-21-gun-salute,['digits']
83,vclaim-sno-22-clinton-foundation-employees-arrested,['fbi']
84,vclaim-sno-22-missionaries-prayer-request,['missionaries']
85,vclaim-sno-23-seniors-die-from-flu-shot,['vaccine']
86,vclaim-sno-23-weeks-baby-abortion,['owner']
87,vclaim-sno-23-werent-killed-virginia-protest,[]
88,vclaim-sno-23rd-psalm-dog,['dog']
89,vclaim-sno-24-cans-of-red-bull,['video']
90,vclaim-sno-244-inmates-fijian-prison,"['85', 'inmates']"
91,vclaim-sno-25-million-fraud-votes-for-clinton,['study']
92,vclaim-sno-251-mass-shootings-in-us,['states']
93,vclaim-sno-26-guards,[]
94,vclaim-sno-27-republicans-endorse-biden,['members']
95,vclaim-sno-27000-people-came-to-a-bernie-sanders-rally-in-california,"['photograph', 'rally']"
96,vclaim-sno-278-years-golf,['trump']
97,vclaim-sno-28-foot-crocodile-killed-australia-1957,['photograph']
98,vclaim-sno-280-pound-catfish,['photograph']
99,vclaim-sno-28th-amendment,"['buffett', 'that']"
100,vclaim-sno-29-august-hurricanes,['hurricanes']
101,vclaim-sno-3-horned-ankole-cow-uganda,['video']
102,vclaim-sno-3-musketeers,[]
103,vclaim-sno-30-marines-killed-helicopter,[]
104,vclaim-sno-30-point-buck,['photographs']
105,vclaim-sno-300-children-found-frozen-alive,"['video', 'children']"
106,vclaim-sno-30000-scientists-reject-climate-change,['scientists']
107,vclaim-sno-300000-wisconsin-voters-turned-away-due-to-voter-id-laws,['trump']
108,vclaim-sno-35000-soldiers-dead-anthrax-vaccinations,['veterans']
109,vclaim-sno-39-missing-children-trailer-ga,[]
110,vclaim-sno-3d-printed-rhino-horn-developed,"['company', 'that']"
111,vclaim-sno-3d-printer,['clip']
112,vclaim-sno-3rd-grade-students-disciplined,[]
113,vclaim-sno-4-dem-senators-turn-gop,['senators']
114,vclaim-sno-4-year-old-boy-accused-of-hacking-fbi-database,[]
115,vclaim-sno-400-ft-ice-ship-antarctica,[]
116,vclaim-sno-400-papers-published-in-2017-prove-that-global-warming-is-myth,"['hundreds', 'warming']"
117,vclaim-sno-400-pound-woman-sue-paris-zoo-escaped-hippo-tried-rape,"['woman', 'hippo']"
118,vclaim-sno-41-lb-rat-photo,['photograph']
119,vclaim-sno-41-senators-vote-babies-born-alive,"['senators', 'babies']"
120,vclaim-sno-413-chicken-nuggets-eaten,[]
121,vclaim-sno-41999-and-change,['photograph']
122,vclaim-sno-420,[]
123,vclaim-sno-425-pound-teacher-suspended-sitting-student-farting-mouth,[]
124,vclaim-sno-43-percent-food-stamps-illegal,['%']
125,vclaim-sno-430-pound-buck,['photographs']
